datetime,open,high,low,close,volume,signals,signal_type
2020-06-08,9746.99,9800.0,9633.0,9782.01,40664.664125,-2,market
2020-06-09,9782.0,9877.0,9570.0,9772.43,46024.001289,2,market
2020-06-10,9772.44,9992.72,9704.18,9885.0,47130.762982,-2,market
2020-06-13,9464.96,9494.73,9351.0,9473.34,27759.784851,2,market
2020-06-14,9473.34,9480.99,9245.0,9342.1,30055.506608,-2,market
2020-06-16 18:39:00,9571.36,9589.0,9570.51,9576.73,521.992073,1,tpsl
2020-06-17,9526.97,9565.0,9236.61,9465.14,48046.411152,-1,market
2020-06-18,9465.13,9489.0,9280.0,9386.32,37381.953765,2,market
2020-06-19,9386.32,9438.3,9215.79,9310.23,45330.983673,-2,market
2020-06-22 22:03:00,9539.47,9550.0,9539.44,9549.71,417.011009,1,tpsl
2020-06-24,9624.33,9670.0,9208.0,9296.49,61571.561464,-1,market
2020-06-29,9116.16,9238.0,9024.67,9192.56,42120.293261,2,market
2020-07-02 22:09:00,8981.4,8999.0,8940.0,8961.26,979.67435,-1,tpsl
2020-07-05,9135.0,9145.24,8893.03,9069.41,34073.653627,1,market
2020-07-10,9232.42,9317.48,9125.0,9288.34,38295.494006,-2,market
2020-07-12,9234.02,9345.0,9157.5,9302.75,30872.702286,2,market
2020-07-13,9303.31,9343.82,9200.89,9242.62,42740.069115,-2,market
2020-07-14,9242.61,9279.54,9113.0,9255.85,45772.552509,2,market
2020-07-15,9255.85,9276.49,9160.57,9197.6,39053.579665,-2,market
2020-07-18,9154.31,9219.3,9121.1,9170.28,22554.541457,2,market
2020-08-02 07:24:00,11915.91,11942.55,11915.91,11928.23,191.747583,-1,tpsl
2020-08-03,11071.36,11473.0,10936.0,11219.81,56931.841475,-1,market
2020-08-04,11219.68,11414.98,11000.0,11191.97,58629.113709,2,market
2020-08-08,11594.36,11808.27,11512.0,11761.41,41858.16104,-2,market
2020-08-09,11761.02,11797.11,11521.97,11681.68,41493.067342,2,market
2020-08-10,11681.69,12067.35,11450.0,11892.92,84952.337887,-2,market
2020-08-13,11564.34,11792.96,11270.36,11780.0,70132.491502,2,market
2020-08-14 00:21:00,11486.41,11489.69,11477.68,11483.22,56.884499,-1,tpsl
2020-08-19,11945.1,12020.08,11561.0,11754.59,73940.169606,-1,market
2020-08-23,11663.51,11718.07,11514.13,11648.13,37900.00469,2,market
2020-08-25 19:39:00,11393.19,11410.82,11350.0,11355.8,877.667077,-1,tpsl
2020-08-29,11526.9,11580.02,11417.04,11465.84,32973.7992,1,market
2020-09-02,11921.97,11954.57,11160.1,11388.54,87221.845602,-2,market
2020-09-07,10255.89,10410.75,9875.0,10373.44,62620.230676,2,market
2020-09-08 01:36:00,10136.26,10138.7,10103.0,10103.01,246.563513,-1,tpsl
2020-09-09,10126.66,10343.0,9981.01,10219.2,49347.113776,-1,market
2020-09-10 19:30:00,10437.95,10483.35,10437.94,10474.85,701.512361,1,tpsl
2020-09-13,10440.67,10580.11,10200.0,10332.83,43837.609865,-1,market
2020-09-14 18:57:00,10564.81,10615.39,10562.49,10615.02,690.812651,1,tpsl
2020-09-20,11080.64,11080.64,10723.0,10920.28,39157.922565,-1,market
2020-09-25,10736.33,10760.53,10556.24,10686.67,48101.117008,2,market
2020-09-29,10696.11,10867.54,10635.87,10840.48,41874.898399,-2,market
2020-09-30,10840.58,10849.34,10665.13,10776.59,39596.027322,2,market
2020-10-01 22:12:00,10540.13,10540.25,10464.06,10472.85,1104.407546,-1,tpsl
2020-10-04,10542.07,10696.87,10517.87,10666.63,23212.001595,1,market
2020-10-07,10599.65,10681.87,10546.17,10666.39,32811.990279,-2,market
2020-10-08,10666.4,10950.0,10530.41,10925.57,51959.691572,2,market
2020-10-14,11420.57,11547.98,11280.0,11417.89,41415.106015,-2,market
2020-10-18,11360.31,11505.0,11346.22,11503.14,23284.041191,2,market
2020-10-26,13029.64,13238.81,12765.0,13052.19,60951.672986,-2,market
2020-10-27 16:54:00,13377.03,13432.11,13354.61,13430.0,575.121544,1,tpsl
2020-10-29,13266.4,13642.91,12920.77,13455.7,74872.602132,-1,market
2020-10-30,13455.69,13669.98,13115.0,13560.1,70657.778881,2,market
2020-11-02,13761.49,13830.0,13195.05,13549.37,64566.421908,-2,market
2020-11-03,13549.63,14066.11,13284.99,14023.53,74115.630787,2,market
2020-11-04 13:15:00,13732.8,13732.8,13601.0,13656.32,1437.767401,-1,tpsl
2020-11-07,15579.93,15753.52,14344.22,14818.3,101431.206553,-1,market
2020-11-08 17:30:00,15171.11,15232.0,15171.11,15213.61,411.317273,1,tpsl
2020-11-09,15475.1,15840.0,14805.54,15328.41,108976.334134,1,market
2020-11-10,15328.41,15460.0,15072.46,15297.21,61681.919606,-2,market
2020-11-11 18:42:00,15656.68,15700.0,15650.0,15698.01,559.259095,1,tpsl
2020-11-15,16069.56,16180.0,15774.72,15957.0,43596.841513,-1,market
2020-11-16 16:24:00,16315.0,16373.51,16315.0,16373.13,305.168398,1,tpsl
2020-11-23,18413.88,18766.0,18000.0,18368.0,82961.506093,-1,market
2020-11-24 14:57:00,18812.1,18898.0,18812.1,18888.46,964.800426,1,tpsl
2020-11-26,18718.83,18915.03,16188.0,17149.47,181005.246693,-1,market
2020-11-28 21:30:00,17517.04,17590.0,17516.52,17590.0,672.7923,1,tpsl
2020-11-29,17719.84,18360.05,17517.0,18184.99,55329.016303,1,market
2020-12-02,18764.96,19342.0,18330.0,19204.09,75911.013478,-2,market
2020-12-03,19204.08,19598.0,18867.2,19421.9,66689.391279,2,market
2020-12-04 15:45:00,19104.54,19105.83,18900.0,18900.01,2025.853128,-1,tpsl
2020-12-06,19147.66,19420.0,18857.0,19359.4,37043.091861,1,market
2020-12-08 15:09:00,18951.82,18953.17,18727.17,18807.22,1387.149255,-1,tpsl
2020-12-12,18036.53,18948.66,18020.7,18808.69,49519.978432,1,market
2020-12-21,23455.54,24102.77,21815.0,22719.71,88030.297243,-2,market
2020-12-22 19:18:00,23230.51,23462.0,23230.5,23415.5,993.70956,1,tpsl
2020-12-23,23810.79,24100.0,22600.0,23232.76,119047.259733,1,market
2021-01-02 17:51:00,30097.22,30300.26,30055.0,30218.21,1508.440613,-1,tpsl
2021-01-10,40088.22,41350.0,35111.11,38150.02,118209.544503,-1,market
2021-01-14 19:39:00,38999.99,39260.0,38995.73,39176.39,752.922809,1,tpsl
2021-01-16,36737.43,37950.0,35357.8,35994.98,86348.431508,-1,market
2021-01-17 00:00:00,37080.29,37148.12,36969.37,36973.33,86.536333,1,tpsl
2021-01-19,36622.46,37850.0,35844.06,35891.49,79611.307769,1,market
2021-01-20 09:42:00,35166.62,35174.21,34979.32,34991.36,232.229001,-1,tpsl
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.287675,1,market
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.037966,-2,market
2021-01-25 09:09:00,32942.69,33248.0,32941.56,33229.98,887.075287,1,tpsl
2021-01-27,32464.01,32557.29,29241.72,30366.15,95911.961711,-1,market
