date_time,executed_price,capital,signal,order_status,order_type,profit_loss%,stop_loss
2019-06-26 04:42:00,12406.49,5278.503169683625,-1,Squared_Off,TP,0.30359709660065215,0.0
2019-06-28 23:57:00,12400.63,5278.503169683625,-1,SHORT,Market,0.0,13640.693
2019-06-29 23:57:00,11903.13,5482.353311150308,2,LONG,Market,0.04011892944148806,10712.817
2019-06-30 23:57:00,10854.1,4990.966689291282,-2,SHORT,Market,-0.08813060094277714,11939.51
2019-07-03 23:45:00,11952.0,4478.64037891214,1,Squared_Off,SL,-0.10115071724048973,0.0
2019-07-05 23:57:00,10970.73,4478.64037891214,-1,SHORT,Market,0.0,12067.803
2019-07-06 23:57:00,11256.49,4355.265069682567,2,LONG,Market,-0.026047491825976963,10130.841
2019-07-11 23:57:00,11342.89,4382.1613229075265,-2,SHORT,Market,0.007675572047769743,12477.179
2019-07-18 23:57:00,10627.16,4652.100003691049,2,LONG,Market,0.06309943938449546,9564.444
2019-07-22 23:57:00,10340.31,4519.5516273918665,-2,SHORT,Market,-0.02699215971153162,11374.341
2019-07-26 23:57:00,9824.0,4738.441520770918,2,LONG,Market,0.049931771871442876,8841.6
2019-07-27 23:57:00,9476.52,4563.732712354025,-2,SHORT,Market,-0.03537052117263839,10424.172
2019-07-30 23:57:00,9574.21,4509.841251653814,2,LONG,Market,-0.01030863650369531,8616.788999999999
2019-08-09 23:57:00,11879.99,5589.192395029961,-2,SHORT,Market,0.24083240288232668,13067.989
2019-08-17 23:57:00,10216.02,6363.658463176184,2,LONG,Market,0.14006493271458978,9194.418
2019-08-21 23:57:00,10142.57,6308.360254351244,-2,SHORT,Market,-0.007189688352215513,11156.827
2019-08-26 23:57:00,10372.25,6156.043961595378,2,LONG,Market,-0.022645148123207462,9335.025
2019-08-28 23:57:00,9721.0,5760.2858888088585,-2,SHORT,Market,-0.06278772686736243,10693.1
2019-09-01 23:57:00,9724.98,5749.287067028679,2,LONG,Market,-0.00040942289887867126,8752.482
2019-09-06 23:57:00,10298.73,6079.856991295468,-2,SHORT,Market,0.05899755063763627,11328.603
2019-09-08 23:57:00,10381.18,6022.062834412021,2,LONG,Market,-0.008005841496961347,9343.062
2019-09-09 23:57:00,10303.12,5967.747582943767,-2,SHORT,Market,-0.007519376410003438,11333.432
2019-09-12 23:57:00,10415.01,5893.987313601011,2,LONG,Market,-0.010859817220414729,9373.509
2019-09-16 23:57:00,10251.31,5792.506409746571,-2,SHORT,Market,-0.01571769974296719,11276.440999999999
2019-09-20 23:57:00,10168.59,5830.558615941612,2,LONG,Market,0.008069212617704406,9151.731
2019-09-21 23:57:00,9986.39,5717.341284937089,-2,SHORT,Market,-0.017917921757097173,10985.028999999999
